Domain,resnet50,efficientnet_v2_s,convnext_tiny,swin_v2_t,maxvit_t
ADIAC_Database,0.5313333333333333,0.6751999999999999,0.6333,0.5789333333333334,0.6641333333333334
AFD_Database,0.35453333333333337,0.4137,0.4063333333333334,0.28306666666666663,0.41850000000000004
DIA_Database,0.47103333333333336,0.5263333333333334,0.5156999999999999,0.46613333333333334,0.5355
DONA_Database,0.3859333333333333,0.4996,0.4963,0.41416666666666674,0.5304
FCE_LTER_Database,0.4502,0.5496,0.5256333333333333,0.4686666666666666,0.6050333333333334
LOIR_Database,0.06796666666666666,0.2426,0.4386333333333334,0.3757,0.3349
