Model,Acc_mean,Acc_std,F1_mean,F1_std
convnext_tiny,0.8876,0.0094,0.859,0.0063
efficientnet_v2_s,0.8987,0.0123,0.8723,0.0092
maxvit_t,0.8995,0.0092,0.8707,0.0079
resnet50,0.8728,0.0063,0.8408,0.0086
swin_v2_t,0.8723,0.0117,0.8408,0.0087
