Experiment,Model,Mode,Domain,Method,Seed,Batch,LR,CropRes,Device,Acc,F1,AUC,Time_Sec,Energy_kWh,Group,path,Factor,Value,Variant
S2_LOSO_maxvit_t_DONA_Database,maxvit_t,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6313,0.5252,0.9,1151.14,0.09593,multiseed,multiseed/seed_42/S2_LOSO_maxvit_t_DONA_Database/final_metrics.csv,,,
S0_Single_resnet50_ADIAC_Database,resnet50,SINGLE,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9341,0.9377,,212.06,0.01767,multiseed,multiseed/seed_42/S0_Single_resnet50_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_LOIR_Database,swin_v2_t,LOSO,LOIR_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5437,0.3758,0.8492,1325.63,0.11047,multiseed,multiseed/seed_42/S2_LOSO_swin_v2_t_LOIR_Database/final_metrics.csv,,,
S0_Single_convnext_tiny_ADIAC_Database,convnext_tiny,SINGLE,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.967,0.9193,,318.75,0.02656,multiseed,multiseed/seed_42/S0_Single_convnext_tiny_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_FCE_LTER_Database,maxvit_t,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7039,0.5998,0.9099,1001.35,0.08345,multiseed,multiseed/seed_42/S2_LOSO_maxvit_t_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_AFD_Database,resnet50,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4864,0.3194,,1278.96,0.10658,multiseed,multiseed/seed_42/S2_LOSO_resnet50_AFD_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_FCE_LTER_Database,efficientnet_v2_s,LOSO,FCE_LTER_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6927,0.5441,0.9432,1560.6,0.13005,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5495,0.4933,,755.96,0.063,multiseed,multiseed/seed_42/S2_LOSO_convnext_tiny_DIA_Database/final_metrics.csv,,,
S1_Standard_resnet50,resnet50,STANDARD,ALL,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8723,0.8428,0.9804,1393.98,0.11617,multiseed,multiseed/seed_42/S1_Standard_resnet50/final_metrics.csv,,,
S2_LOSO_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5782,0.3955,,1242.01,0.1035,multiseed,multiseed/seed_42/S2_LOSO_convnext_tiny_AFD_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_LOIR_Database,efficientnet_v2_s,LOSO,LOIR_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4979,0.2287,0.7953,1258.76,0.1049,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_LOIR_Database/final_metrics.csv,,,
S2_LOSO_resnet50_DIA_Database,resnet50,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5097,0.4482,,2254.49,0.18787,multiseed,multiseed/seed_42/S2_LOSO_resnet50_DIA_Database/final_metrics.csv,,,
S2_LOSO_resnet50_LOIR_Database,resnet50,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.0577,0.0428,0.6074,662.76,0.05523,multiseed,multiseed/seed_42/S2_LOSO_resnet50_LOIR_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_ADIAC_Database,efficientnet_v2_s,LOSO,ADIAC_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7417,0.6491,0.9496,1355.04,0.11292,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_ADIAC_Database/final_metrics.csv,,,
S1_Standard_convnext_tiny,convnext_tiny,STANDARD,ALL,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8777,0.8521,0.9886,884.27,0.07369,multiseed,multiseed/seed_42/S1_Standard_convnext_tiny/final_metrics.csv,,,
S1_Standard_efficientnet_v2_s,efficientnet_v2_s,STANDARD,ALL,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9042,0.8812,0.9838,2504.14,0.20868,multiseed,multiseed/seed_42/S1_Standard_efficientnet_v2_s/final_metrics.csv,,,
S2_LOSO_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7519,0.6474,0.9425,859.53,0.07163,multiseed,multiseed/seed_42/S2_LOSO_convnext_tiny_ADIAC_Database/final_metrics.csv,,,
S0_Single_swin_v2_t_ADIAC_Database,swin_v2_t,SINGLE,ADIAC_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9524,0.9712,,565.34,0.04711,multiseed,multiseed/seed_42/S0_Single_swin_v2_t_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_DIA_Database,maxvit_t,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5328,0.5262,,1044.87,0.08707,multiseed,multiseed/seed_42/S2_LOSO_maxvit_t_DIA_Database/final_metrics.csv,,,
S2_LOSO_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6438,0.4245,0.9046,862.59,0.07188,multiseed,multiseed/seed_42/S2_LOSO_convnext_tiny_LOIR_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_FCE_LTER_Database,swin_v2_t,LOSO,FCE_LTER_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5726,0.4329,0.8626,1124.19,0.09368,multiseed,multiseed/seed_42/S2_LOSO_swin_v2_t_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_ADIAC_Database,resnet50,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6298,0.4882,0.9324,1165.59,0.09713,multiseed,multiseed/seed_42/S2_LOSO_resnet50_ADIAC_Database/final_metrics.csv,,,
S0_Single_maxvit_t_ADIAC_Database,maxvit_t,SINGLE,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.956,0.9523,,450.26,0.03752,multiseed,multiseed/seed_42/S0_Single_maxvit_t_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_LOIR_Database,maxvit_t,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5352,0.3805,0.8935,949.14,0.07909,multiseed,multiseed/seed_42/S2_LOSO_maxvit_t_LOIR_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_DONA_Database,swin_v2_t,LOSO,DONA_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5187,0.4198,0.863,709.71,0.05914,multiseed,multiseed/seed_42/S2_LOSO_swin_v2_t_DONA_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_DIA_Database,swin_v2_t,LOSO,DIA_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4878,0.4637,,1013.7,0.08448,multiseed,multiseed/seed_42/S2_LOSO_swin_v2_t_DIA_Database/final_metrics.csv,,,
S1_Standard_swin_v2_t,swin_v2_t,STANDARD,ALL,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8723,0.8444,0.9898,1828.39,0.15237,multiseed,multiseed/seed_42/S1_Standard_swin_v2_t/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_AFD_Database,efficientnet_v2_s,LOSO,AFD_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5308,0.369,,1577.62,0.13147,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_AFD_Database/final_metrics.csv,,,
S1_Standard_maxvit_t,maxvit_t,STANDARD,ALL,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9097,0.8794,0.9844,1639.16,0.1366,multiseed,multiseed/seed_42/S1_Standard_maxvit_t/final_metrics.csv,,,
S2_LOSO_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6425,0.4833,0.9156,1273.3,0.10611,multiseed,multiseed/seed_42/S2_LOSO_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_DONA_Database,resnet50,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5327,0.4012,0.8532,701.14,0.05843,multiseed,multiseed/seed_42/S2_LOSO_resnet50_DONA_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_DONA_Database,efficientnet_v2_s,LOSO,DONA_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6209,0.5081,0.8942,1135.41,0.09462,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_DONA_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_DIA_Database,efficientnet_v2_s,LOSO,DIA_Database,erm,42,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5586,0.5298,,1636.89,0.13641,multiseed,multiseed/seed_42/S2_LOSO_efficientnet_v2_s_DIA_Database/final_metrics.csv,,,
S2_LOSO_resnet50_FCE_LTER_Database,resnet50,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6061,0.4384,0.8965,1325.98,0.1105,multiseed,multiseed/seed_42/S2_LOSO_resnet50_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_AFD_Database,swin_v2_t,LOSO,AFD_Database,erm,42,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4978,0.2879,,1643.26,0.13694,multiseed,multiseed/seed_42/S2_LOSO_swin_v2_t_AFD_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_AFD_Database,maxvit_t,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5854,0.4027,,1091.23,0.09094,multiseed,multiseed/seed_42/S2_LOSO_maxvit_t_AFD_Database/final_metrics.csv,,,
S2_LOSO_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6156,0.4977,0.9017,555.22,0.04627,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_DONA_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_ADIAC_Database,maxvit_t,LOSO,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7679,0.6844,0.9428,1713.65,0.1428,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_ADIAC_Database,swin_v2_t,LOSO,ADIAC_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6778,0.5795,0.9324,1035.7,0.08631,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_ADIAC_Database/final_metrics.csv,,,
S0_Single_efficientnet_v2_s_ADIAC_Database,efficientnet_v2_s,SINGLE,ADIAC_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9744,0.9909,,471.08,0.03926,multiseed,multiseed/seed_1337/S0_Single_efficientnet_v2_s_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_DONA_Database,maxvit_t,LOSO,DONA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6299,0.5313,0.9025,1433.28,0.11944,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_DONA_Database/final_metrics.csv,,,
S0_Single_resnet50_ADIAC_Database,resnet50,SINGLE,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9597,0.9799,,206.62,0.01722,multiseed,multiseed/seed_1337/S0_Single_resnet50_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_LOIR_Database,swin_v2_t,LOSO,LOIR_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5072,0.3466,0.844,895.32,0.07461,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_LOIR_Database/final_metrics.csv,,,
S0_Single_convnext_tiny_ADIAC_Database,convnext_tiny,SINGLE,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9597,0.9462,,233.84,0.01949,multiseed,multiseed/seed_1337/S0_Single_convnext_tiny_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_FCE_LTER_Database,maxvit_t,LOSO,FCE_LTER_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7374,0.6178,0.9543,1054.87,0.08791,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_AFD_Database,resnet50,LOSO,AFD_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5395,0.3732,,1368.61,0.11405,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_AFD_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_FCE_LTER_Database,efficientnet_v2_s,LOSO,FCE_LTER_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6648,0.5489,0.9293,1347.7,0.11231,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5495,0.5175,,1006.15,0.08385,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_DIA_Database/final_metrics.csv,,,
S1_Standard_resnet50,resnet50,STANDARD,ALL,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8668,0.8314,0.9856,1250.73,0.10423,multiseed,multiseed/seed_1337/S1_Standard_resnet50/final_metrics.csv,,,
S2_LOSO_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5954,0.4168,,957.8,0.07982,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_AFD_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_LOIR_Database,efficientnet_v2_s,LOSO,LOIR_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.531,0.3027,0.8057,965.7,0.08047,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_LOIR_Database/final_metrics.csv,,,
S2_LOSO_resnet50_DIA_Database,resnet50,LOSO,DIA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5238,0.4973,,1286.14,0.10718,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_DIA_Database/final_metrics.csv,,,
S2_LOSO_resnet50_LOIR_Database,resnet50,LOSO,LOIR_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.0992,0.0864,0.5532,666.66,0.05556,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_LOIR_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_ADIAC_Database,efficientnet_v2_s,LOSO,ADIAC_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7585,0.6959,0.9288,1112.25,0.09269,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_ADIAC_Database/final_metrics.csv,,,
S1_Standard_convnext_tiny,convnext_tiny,STANDARD,ALL,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8964,0.8644,0.9845,1712.74,0.14273,multiseed,multiseed/seed_1337/S1_Standard_convnext_tiny/final_metrics.csv,,,
S1_Standard_efficientnet_v2_s,efficientnet_v2_s,STANDARD,ALL,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8847,0.8629,0.9879,1589.14,0.13243,multiseed,multiseed/seed_1337/S1_Standard_efficientnet_v2_s/final_metrics.csv,,,
S2_LOSO_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6684,0.6003,0.9604,508.01,0.04233,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_ADIAC_Database/final_metrics.csv,,,
S0_Single_swin_v2_t_ADIAC_Database,swin_v2_t,SINGLE,ADIAC_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9341,0.9417,,655.32,0.05461,multiseed,multiseed/seed_1337/S0_Single_swin_v2_t_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_DIA_Database,maxvit_t,LOSO,DIA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5547,0.5306,,1822.8,0.1519,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_DIA_Database/final_metrics.csv,,,
S2_LOSO_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6183,0.4293,0.8843,1227.55,0.1023,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_LOIR_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_FCE_LTER_Database,swin_v2_t,LOSO,FCE_LTER_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5894,0.4716,0.891,1051.34,0.08761,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_ADIAC_Database,resnet50,LOSO,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6658,0.5728,0.9091,880.63,0.07339,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_ADIAC_Database/final_metrics.csv,,,
S0_Single_maxvit_t_ADIAC_Database,maxvit_t,SINGLE,ADIAC_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.9744,0.9819,,463.66,0.03864,multiseed,multiseed/seed_1337/S0_Single_maxvit_t_ADIAC_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_LOIR_Database,maxvit_t,LOSO,LOIR_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4945,0.3102,0.8417,1044.12,0.08701,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_LOIR_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_DONA_Database,swin_v2_t,LOSO,DONA_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5152,0.4207,0.8705,809.33,0.06744,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_DONA_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_DIA_Database,swin_v2_t,LOSO,DIA_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5199,0.4942,,1445.02,0.12042,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_DIA_Database/final_metrics.csv,,,
S1_Standard_swin_v2_t,swin_v2_t,STANDARD,ALL,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8606,0.8309,0.9878,1572.14,0.13101,multiseed,multiseed/seed_1337/S1_Standard_swin_v2_t/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_AFD_Database,efficientnet_v2_s,LOSO,AFD_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.594,0.4328,,1708.8,0.1424,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_AFD_Database/final_metrics.csv,,,
S1_Standard_maxvit_t,maxvit_t,STANDARD,ALL,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.8972,0.8688,0.9809,1566.9,0.13057,multiseed,multiseed/seed_1337/S1_Standard_maxvit_t/final_metrics.csv,,,
S2_LOSO_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6564,0.5512,0.9518,908.05,0.07567,multiseed,multiseed/seed_1337/S2_LOSO_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_resnet50_DONA_Database,resnet50,LOSO,DONA_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5245,0.3887,0.8442,615.84,0.05132,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_DONA_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_DONA_Database,efficientnet_v2_s,LOSO,DONA_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6111,0.4947,0.8766,1554.1,0.12951,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_DONA_Database/final_metrics.csv,,,
S2_LOSO_efficientnet_v2_s_DIA_Database,efficientnet_v2_s,LOSO,DIA_Database,erm,1337,128,0.0004,384,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5534,0.521,,2590.66,0.21589,multiseed,multiseed/seed_1337/S2_LOSO_efficientnet_v2_s_DIA_Database/final_metrics.csv,,,
S2_LOSO_resnet50_FCE_LTER_Database,resnet50,LOSO,FCE_LTER_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6034,0.4368,0.9307,1173.28,0.09777,multiseed,multiseed/seed_1337/S2_LOSO_resnet50_FCE_LTER_Database/final_metrics.csv,,,
S2_LOSO_swin_v2_t_AFD_Database,swin_v2_t,LOSO,AFD_Database,erm,1337,128,0.0004,256,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4935,0.2826,,1406.31,0.11719,multiseed,multiseed/seed_1337/S2_LOSO_swin_v2_t_AFD_Database/final_metrics.csv,,,
S2_LOSO_maxvit_t_AFD_Database,maxvit_t,LOSO,AFD_Database,erm,1337,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6083,0.4503,,1234.42,0.10287,multiseed,multiseed/seed_1337/S2_LOSO_maxvit_t_AFD_Database/final_metrics.csv,,,
geometric_only_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.613,0.4841,0.884,623.82,0.05199,ablation,ablation/geometric_only/geometric_only_convnext_tiny_DONA_Database/final_metrics.csv,,,geometric_only
geometric_only_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6676,0.5145,0.9169,770.08,0.06417,ablation,ablation/geometric_only/geometric_only_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,geometric_only
geometric_only_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.571,0.4075,,909.1,0.07576,ablation,ablation/geometric_only/geometric_only_convnext_tiny_AFD_Database/final_metrics.csv,,,geometric_only
geometric_only_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7461,0.6544,0.9598,722.31,0.06019,ablation,ablation/geometric_only/geometric_only_convnext_tiny_ADIAC_Database/final_metrics.csv,,,geometric_only
geometric_only_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6243,0.4496,0.9123,575.34,0.04794,ablation,ablation/geometric_only/geometric_only_convnext_tiny_LOIR_Database/final_metrics.csv,,,geometric_only
geometric_only_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5701,0.5426,,939.79,0.07832,ablation,ablation/geometric_only/geometric_only_convnext_tiny_DIA_Database/final_metrics.csv,,,geometric_only
full_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6425,0.4833,0.9156,1163.75,0.09698,ablation,ablation/full/full_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,full
full_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5495,0.4933,,718.84,0.0599,ablation,ablation/full/full_convnext_tiny_DIA_Database/final_metrics.csv,,,full
full_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5782,0.3955,,1133.69,0.09447,ablation,ablation/full/full_convnext_tiny_AFD_Database/final_metrics.csv,,,full
full_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6254,0.4944,0.8947,666.03,0.0555,ablation,ablation/full/full_convnext_tiny_DONA_Database/final_metrics.csv,,,full
full_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7519,0.6474,0.9425,789.81,0.06582,ablation,ablation/full/full_convnext_tiny_ADIAC_Database/final_metrics.csv,,,full
full_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6438,0.4245,0.9046,791.87,0.06599,ablation,ablation/full/full_convnext_tiny_LOIR_Database/final_metrics.csv,,,full
